gutenberg_id,short_title,cleaning_timestamp,cleaning_method,cleaning_success,cleaning_error,validation_passed,validation_warnings,total_rows,dialogue_lines,front_matter_rows,contents_rows,unique_acts,unique_scenes,unique_characters,output_file_path,script_version
1537,Pericles,2025-12-05T00:28:55Z,cleaned,TRUE,NA,TRUE,NA,2614,2328,59,2555,5,12,47,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1537_cleaned.csv,1.0
1512,Richard II,2025-12-05T00:28:55Z,cleaned,TRUE,NA,TRUE,NA,3017,2798,59,2958,5,12,38,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1512_cleaned.csv,1.0
1503,Richard III,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3986,3621,76,3910,5,14,64,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1503_cleaned.csv,1.0
1534,Antony and Cleopatra,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3913,3478,129,3784,5,30,58,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1534_cleaned.csv,1.0
1535,Coriolanus,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3910,3592,59,3851,5,20,68,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1535_cleaned.csv,1.0
1538,Cymbeline,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3895,3583,67,3828,5,16,42,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1538_cleaned.csv,1.0
1524,Hamlet,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,4137,3810,55,4082,5,14,35,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1524_cleaned.csv,1.0
1522,Julius Caesar,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,2812,2575,57,2755,5,10,47,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1522_cleaned.csv,1.0
1532,King Lear,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3677,3332,59,3618,5,14,26,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1532_cleaned.csv,1.0
1533,Macbeth,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,2599,2334,67,2532,5,16,39,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1533_cleaned.csv,1.0
1531,Othello,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3653,3384,42,3611,5,8,24,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1531_cleaned.csv,1.0
1513,Romeo and Juliet,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3302,2989,83,3219,5,12,31,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1513_cleaned.csv,1.0
1536,Timon of Athens,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,2616,2368,60,2556,5,12,60,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1536_cleaned.csv,1.0
1507,Titus Andronicus,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,2770,2532,51,2719,5,8,27,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1507_cleaned.csv,1.0
1528,Troilus and Cressida,2025-12-05T00:28:56Z,cleaned,TRUE,NA,TRUE,NA,3628,3267,123,3505,5,20,29,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/cleaned/1528_cleaned.csv,1.0
