category,name,description,tokens,unique_words,plays,filepath
by_play,all_s_well_that_ends_well_filtered,"All's Well That Ends Well - dialogue and directions, no stop words",7751,3118,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/all_s_well_that_ends_well_filtered.csv
by_play,measure_for_measure,Measure for Measure - dialogue and directions,21784,3324,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/measure_for_measure.csv
by_play,measure_for_measure_filtered,"Measure for Measure - dialogue and directions, no stop words",7361,2911,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/measure_for_measure_filtered.csv
by_play,othello,Othello - dialogue and directions,26520,3813,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/othello.csv
by_play,othello_filtered,"Othello - dialogue and directions, no stop words",9136,3407,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/othello_filtered.csv
by_play,king_lear,King Lear - dialogue and directions,26247,4195,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/king_lear.csv
by_play,king_lear_filtered,"King Lear - dialogue and directions, no stop words",9859,3771,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/king_lear_filtered.csv
by_play,macbeth,Macbeth - dialogue and directions,17157,3347,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/macbeth.csv
by_play,macbeth_filtered,"Macbeth - dialogue and directions, no stop words",6475,2952,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/macbeth_filtered.csv
by_play,antony_and_cleopatra,Antony and Cleopatra - dialogue and directions,24862,3943,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/antony_and_cleopatra.csv
by_play,antony_and_cleopatra_filtered,"Antony and Cleopatra - dialogue and directions, no stop words",9139,3526,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/antony_and_cleopatra_filtered.csv
by_play,coriolanus,Coriolanus - dialogue and directions,27731,4042,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/coriolanus.csv
by_play,coriolanus_filtered,"Coriolanus - dialogue and directions, no stop words",9561,3606,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/coriolanus_filtered.csv
by_play,timon_of_athens,Timon of Athens - dialogue and directions,18524,3299,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/timon_of_athens.csv
by_play,timon_of_athens_filtered,"Timon of Athens - dialogue and directions, no stop words",6865,2878,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/timon_of_athens_filtered.csv
by_play,pericles,Pericles - dialogue and directions,18636,3299,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/pericles.csv
by_play,pericles_filtered,"Pericles - dialogue and directions, no stop words",6733,2888,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/pericles_filtered.csv
by_play,cymbeline,Cymbeline - dialogue and directions,27626,4267,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/cymbeline.csv
by_play,cymbeline_filtered,"Cymbeline - dialogue and directions, no stop words",9899,3851,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/cymbeline_filtered.csv
by_play,winter_s_tale,Winter's Tale - dialogue and directions,25162,3909,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/winter_s_tale.csv
by_play,winter_s_tale_filtered,"Winter's Tale - dialogue and directions, no stop words",8468,3491,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/winter_s_tale_filtered.csv
by_play,tempest,Tempest - dialogue and directions,16794,3202,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/tempest.csv
by_play,tempest_filtered,"Tempest - dialogue and directions, no stop words",6281,2826,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/tempest_filtered.csv
by_play,henry_viii,Henry VIII - dialogue and directions,24542,3640,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_viii.csv
by_play,henry_viii_filtered,"Henry VIII - dialogue and directions, no stop words",8800,3214,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_viii_filtered.csv
