short_title,word,n,total
As You Like It,divers,2,7260
As You Like It,diverted,1,7260
As You Like It,divide,1,7260
As You Like It,doe,1,7260
As You Like It,dog,4,7260
As You Like It,dole,1,7260
As You Like It,doom,1,7260
As You Like It,door,1,7260
As You Like It,doors,3,7260
As You Like It,dotes,1,7260
As You Like It,doublet,4,7260
As You Like It,doubt,1,7260
As You Like It,doubts,1,7260
As You Like It,downright,1,7260
As You Like It,dowry,1,7260
As You Like It,drave,1,7260
As You Like It,draw,2,7260
As You Like It,drawn,3,7260
As You Like It,dream,1,7260
As You Like It,dressed,1,7260
As You Like It,drew,1,7260
As You Like It,drink,4,7260
As You Like It,driven,1,7260
As You Like It,drop,1,7260
As You Like It,dropped,1,7260
As You Like It,drops,3,7260
As You Like It,drowned,2,7260
As You Like It,drunkards,1,7260
As You Like It,dry,3,7260
As You Like It,ducdame,4,7260
As You Like It,dugs,1,7260
As You Like It,duke,44,7260
As You Like It,dukedom,2,7260
As You Like It,duke’s,6,7260
As You Like It,dulcet,1,7260
As You Like It,dull,3,7260
As You Like It,dullness,1,7260
As You Like It,dunghills,1,7260
As You Like It,durst,2,7260
As You Like It,duty,3,7260
As You Like It,dwell,2,7260
As You Like It,dwelling,2,7260
As You Like It,dwells,1,7260
As You Like It,dyed,1,7260
As You Like It,ear,1,7260
As You Like It,earliest,1,7260
As You Like It,earn,1,7260
As You Like It,earnest,4,7260
As You Like It,ears,1,7260
As You Like It,earth,1,7260
As You Like It,earthly,1,7260
As You Like It,earthquakes,1,7260
As You Like It,ease,2,7260
As You Like It,easily,1,7260
As You Like It,east,1,7260
As You Like It,easy,1,7260
As You Like It,eat,8,7260
As You Like It,eaten,2,7260
As You Like It,eats,1,7260
As You Like It,ebb,1,7260
As You Like It,education,2,7260
As You Like It,effect,2,7260
As You Like It,effeminate,1,7260
As You Like It,effigies,1,7260
As You Like It,egg,1,7260
As You Like It,eggs,1,7260
As You Like It,egypt,1,7260
As You Like It,eke,1,7260
As You Like It,elder,2,7260
As You Like It,eldest,2,7260
As You Like It,elegies,1,7260
As You Like It,eleven,1,7260
As You Like It,em,1,7260
As You Like It,embossed,1,7260
As You Like It,embrace,1,7260
As You Like It,employ,1,7260
As You Like It,employed,2,7260
As You Like It,empty,3,7260
As You Like It,emulation,1,7260
As You Like It,emulator,1,7260
As You Like It,enchantingly,1,7260
As You Like It,encounter,2,7260
As You Like It,encourage,1,7260
As You Like It,endure,3,7260
